School Name,School Code,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,year,Nonbinary,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Economically Disadvantaged#,Economically Disadvantaged%,Students with Disabilities#,Students with Disabilities%,Low Income#,Low Income%,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,Tests Taken,Reading / Writing,Writing,Math
North Adams - Drury High,02090505,   0.2,   0.0,   3.4,   5.0,   7.1,   0.0,  84.3,  53.8,  46.2,2018,,     317,  60.5,       1,   0.2,       2,   0.4,     276,  52.7,     112,  21.4,,,80,41,51.3,0,29.3,9.8,61,7.3,53.7,7.3,        91,    78.0,     5.5,     1.1,     2.2,    13.2,     0.0,      53,514,,500
North Adams - Greylock,02090015,   0.0,   1.4,   1.7,   8.4,   7.4,   0.7,  80.4,  48.6,  51.4,2018,,     154,  60.2,       4,   1.6,       4,   1.6,     135,  52.7,      53,  20.7,,,,,,,,,,,,,,,,,,,,,,,
North Andover - Annie L Sargent School,02110018,   0.5,   8.8,   2.1,   5.2,   4.5,   0.0,  78.9,  49.2,  50.8,2018,,      99,  21.0,       5,   1.1,      37,   7.9,      35,   7.4,      74,  15.7,,,,,,,,,,,,,,,,,,,,,,,
North Andover - Atkinson,02110001,   0.5,  11.4,   4.8,  20.1,   3.9,   0.0,  59.3,  48.9,  51.1,2018,,     162,  45.1,      23,   6.4,      52,  14.5,     104,  29.0,      53,  14.8,,,,,,,,,,,,,,,,,,,,,,,
North Andover - Franklin,02110010,   0.4,  14.6,   1.5,   7.1,   3.3,   0.0,  73.0,  43.8,  56.2,2018,,     110,  28.6,       3,   0.8,      35,   9.1,      37,   9.6,      76,  19.8,,,,,,,,,,,,,,,,,,,,,,,
North Andover - Kittredge,02110015,   0.0,   5.2,   3.8,   6.6,   4.9,   0.3,  79.2,  43.4,  56.6,2018,,      51,  21.7,       3,   1.3,      10,   4.3,      22,   9.4,      38,  16.2,,,,,,,,,,,,,,,,,,,,,,,
North Andover - North Andover High,02110505,   0.2,   6.8,   3.1,   8.9,   1.3,   0.4,  79.4,  52.0,  48.0,2018,,     308,  21.1,      15,   1.0,     105,   7.2,     172,  11.8,     159,  10.9,,,390,346,88.7,0,43.4,12.7,43.9,12.4,2.3,20.2,       378,    96.8,     1.6,     0.3,     0.0,     1.3,     0.0,     431,572,,568
North Andover - North Andover Middle,02110305,   0.2,   7.2,   3.4,   9.5,   1.8,   0.1,  77.7,  48.8,  51.2,2018,,     300,  27.3,      15,   1.4,      90,   8.2,     172,  15.7,     150,  13.6,,,,,,,,,,,,,,,,,,,,,,,
North Andover - Thomson,02110020,   0.0,   4.9,   2.3,  17.1,   4.6,   0.0,  71.0,  52.5,  47.5,2018,,     119,  41.3,      20,   6.9,      37,  12.8,      75,  26.0,      53,  18.4,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough - Amvet Boulevard,02120007,   0.5,  11.6,   3.3,   5.8,   4.5,   0.0,  74.4,  51.3,  48.7,2018,,      89,  23.5,      15,   4.0,      31,   8.2,      39,  10.3,      33,   8.7,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough - Community,02120030,   0.0,   3.8,   6.3,   9.4,   7.8,   0.0,  72.8,  42.8,  57.2,2018,,     198,  62.9,      31,   9.8,      48,  15.2,     130,  41.3,      87,  27.6,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough - Falls,02120010,   0.0,   5.1,   2.9,   6.2,   2.9,   0.4,  82.5,  48.4,  51.6,2018,,      69,  27.9,       6,   2.4,      15,   6.1,      44,  17.8,      32,  13.0,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough - Joseph W Martin Jr Elementary,02120013,   0.2,   4.4,   3.3,   2.2,   5.2,   0.2,  84.6,  49.5,  50.5,2018,,     176,  28.7,      19,   3.1,      46,   7.5,      87,  14.2,      95,  15.5,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough - North Attleboro High,02120505,   0.3,   6.1,   3.1,   5.5,   2.5,   0.1,  82.3,  50.4,  49.5,2018,,     287,  25.9,      17,   1.5,      81,   7.3,     158,  14.3,     164,  14.8,,,273,238,87.2,0,38.7,15.1,45.8,13.9,13.9,18.1,       314,    95.9,     2.5,     0.0,     0.3,     1.3,     0.0,     346,564,,562
North Attleborough - North Attleborough Early Learning Center,02120020,   0.8,  11.9,   2.4,   5.6,   3.2,   0.8,  75.4,  37.3,  62.7,2018,,      54,  40.3,      13,   9.7,      35,  26.1,      27,  20.1,      27,  20.1,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough - North Attleborough Middle,02120305,   0.2,   6.3,   2.2,   4.5,   3.4,   0.1,  83.3,  48.7,  51.3,2018,,     357,  32.4,      18,   1.6,      69,   6.3,     179,  16.3,     187,  17.0,,,,,,,,,,,,,,,,,,,,,,,
North Attleborough - Roosevelt Avenue,02120015,   0.0,   6.4,   1.1,   2.8,   4.2,   0.0,  85.5,  55.1,  44.9,2018,,      52,  20.2,       8,   3.1,      22,   8.5,      26,  10.1,      16,   6.2,,,,,,,,,,,,,,,,,,,,,,,
North Brookfield - North Brookfield Elementary,02150015,   0.0,   0.0,   0.9,   3.9,   3.0,   0.0,  92.1,  47.0,  53.0,2018,,     141,  44.6,       0,   0.0,       1,   0.3,      99,  31.3,      76,  24.1,,,,,,,,,,,,,,,,,,,,,,,
North Brookfield - North Brookfield High,02150505,   0.0,   0.9,   0.9,   5.3,   3.1,   0.0,  89.9,  49.3,  50.7,2018,,     104,  40.9,       0,   0.0,       1,   0.4,      83,  32.7,      51,  20.1,,,35,19,54.3,0,36.8,21.1,42.1,21.1,15.8,15.8,        38,    78.9,     7.9,     0.0,     2.6,    10.5,     0.0,      26,578,,550
North Middlesex - Ashby Elementary,07350010,   0.0,   0.0,   0.5,   2.7,   0.0,   0.0,  96.7,  42.4,  57.6,2018,,      82,  47.4,       0,   0.0,       1,   0.6,      39,  22.5,      64,  37.0,,,,,,,,,,,,,,,,,,,,,,,
North Middlesex - Hawthorne Brook,07350030,   0.0,   1.2,   1.0,   3.2,   2.8,   0.2,  91.6,  50.6,  49.4,2018,,     171,  34.9,       7,   1.4,      14,   2.9,      85,  17.3,      98,  20.0,,,,,,,,,,,,,,,,,,,,,,,
North Middlesex - Nissitissit Middle School,07350310,   0.0,   2.1,   1.5,   3.6,   2.3,   0.0,  90.5,  47.8,  52.2,2018,,     202,  38.4,       0,   0.0,       3,   0.6,      85,  16.2,     150,  28.5,,,,,,,,,,,,,,,,,,,,,,,
North Middlesex - North Middlesex Regional,07350505,   0.3,   0.8,   1.3,   3.0,   3.5,   0.0,  91.2,  53.5,  46.5,2018,,     204,  24.6,       9,   1.1,      18,   2.2,     112,  13.5,     129,  15.5,,,181,147,81.2,0,36.7,11.6,51.7,8.8,23.1,17,       196,    94.9,     1.5,     0.0,     0.5,     3.1,     0.0,     206,566,,548
North Middlesex - Peter Fitzpatrick School,07350515,   0.0,   0.0,   0.0,   0.0,   5.6,   0.0,  94.4,  38.9,  61.1,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Middlesex - Spaulding Memorial,07350005,   0.0,   1.9,   1.7,   5.7,   4.5,   0.0,  86.3,  50.0,  50.0,2018,,     154,  36.2,      17,   4.0,      21,   4.9,      97,  22.8,      62,  14.6,,,,,,,,,,,,,,,,,,,,,,,
North Middlesex - Squannacook Early Childhood Center,07350002,   1.1,   1.1,   2.2,   3.3,   0.0,   0.0,  92.2,  40.0,  60.0,2018,,      51,  57.3,       0,   0.0,       0,   0.0,      18,  20.2,      43,  48.3,,,,,,,,,,,,,,,,,,,,,,,
North Middlesex - Varnum Brook,07350035,   0.2,   0.4,   2.4,   4.3,   5.0,   0.0,  87.7,  46.6,  53.4,2018,,     174,  32.5,       1,   0.2,       2,   0.4,      94,  17.5,     106,  19.8,,,,,,,,,,,,,,,,,,,,,,,
North Reading - E Ethel Little School,02170003,   0.0,   4.2,   1.2,   3.6,   4.5,   0.0,  86.4,  46.2,  53.8,2018,,      88,  27.2,       1,   0.3,       2,   0.6,      35,  10.8,      65,  20.1,,,,,,,,,,,,,,,,,,,,,,,
North Reading - J Turner Hood,02170010,   0.0,   5.4,   0.6,   2.4,   2.7,   0.3,  88.7,  47.3,  52.7,2018,,      79,  22.6,       2,   0.6,       2,   0.6,      24,   6.9,      58,  16.6,,,,,,,,,,,,,,,,,,,,,,,
North Reading - L D Batchelder,02170005,   0.0,   3.4,   0.2,   5.6,   3.7,   0.0,  87.1,  49.6,  50.4,2018,,      93,  21.5,       2,   0.5,       7,   1.6,      28,   6.5,      70,  16.2,,,,,,,,,,,,,,,,,,,,,,,
North Reading - North Reading High,02170505,   0.0,   3.1,   0.6,   2.1,   1.4,   0.2,  92.6,  52.0,  48.0,2018,,     153,  20.3,       4,   0.5,      10,   1.3,      47,   6.3,     114,  15.2,,,181,154,85.1,0,46.1,7.8,46.1,7.1,7.8,16.2,       214,    98.6,     0.9,     0.0,     0.0,     0.5,     0.0,     231,565,,567
North Reading - North Reading Middle,02170305,   0.0,   3.6,   0.5,   2.9,   3.6,   0.2,  89.1,  51.1,  48.9,2018,,     164,  30.4,       4,   0.7,       9,   1.7,      52,   9.6,     131,  24.3,,,,,,,,,,,,,,,,,,,,,,,
Northampton - Bridge Street,02100005,   0.4,   5.1,   2.6,  21.9,   7.7,   0.0,  62.4,  46.0,  54.0,2018,,     143,  55.6,      25,   9.7,      46,  17.9,     106,  41.2,      63,  24.5,,,,,,,,,,,,,,,,,,,,,,,
Northampton - Jackson Street,02100020,   0.0,   8.1,   5.6,  17.6,   8.7,   0.0,  60.1,  56.7,  43.3,2018,,     127,  36.1,      24,   6.8,      49,  13.9,      88,  25.0,      61,  17.3,,,,,,,,,,,,,,,,,,,,,,,
Northampton - John F Kennedy Middle School,02100410,   0.5,   2.9,   1.8,  17.7,   6.5,   0.0,  70.6,  47.8,  52.2,2018,,     252,  41.0,      18,   2.9,      62,  10.1,     162,  26.4,     156,  25.4,,,,,,,,,,,,,,,,,,,,,,,
Northampton - Leeds,02100025,   0.0,   2.2,   0.9,  14.3,   8.1,   0.0,  74.5,  46.7,  53.3,2018,,     142,  42.8,       6,   1.8,      16,   4.8,      97,  29.2,      78,  23.5,,,,,,,,,,,,,,,,,,,,,,,
Northampton - Northampton High,02100505,   0.1,   4.3,   3.0,  12.9,   4.1,   0.0,  75.6,  51.4,  48.6,2018,,     254,  29.9,      17,   2.0,      56,   6.6,     170,  20.0,     128,  15.1,,,207,162,78.3,0,50,17.3,32.7,17.3,11.7,11.7,       223,    93.7,     1.8,     1.3,     0.4,     2.7,     0.0,     231,599,,591
Northampton - R. K. Finn Ryan Road,02100029,   0.0,   3.6,   1.4,  15.4,   4.5,   0.0,  75.1,  46.6,  53.4,2018,,     101,  45.5,       8,   3.6,      18,   8.1,      74,  33.3,      55,  24.8,,,,,,,,,,,,,,,,,,,,,,,
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,   0.0,   0.8,   1.2,  15.5,   1.8,   0.0,  80.7,  42.0,  58.0,2018,,     277,  56.0,       8,   1.6,      22,   4.4,     163,  32.9,     193,  39.0,,,123,48,39,0,18.8,62.5,18.8,58.3,16.7,0,       111,    96.4,     0.9,     0.9,     0.0,     1.8,     0.0,      29,484,,471
Northboro-Southboro - Algonquin Regional High,07300505,   0.3,  10.7,   1.2,   5.6,   2.9,   0.2,  79.1,  51.7,  48.3,2018,,     313,  21.6,      27,   1.9,     167,  11.5,      89,   6.1,     197,  13.6,,,364,331,90.9,0,50.2,6.3,43.5,6,8.8,14.8,       362,    95.3,     2.2,     0.0,     0.3,     2.2,     0.0,     437,591,,599
Northborough - Fannie E Proctor,02130015,   0.0,  11.2,   3.6,  14.5,   3.2,   0.4,  67.1,  49.0,  51.0,2018,,      89,  37.4,      14,   5.9,      58,  24.4,      44,  18.5,      53,  22.3,,,,,,,,,,,,,,,,,,,,,,,
Northborough - Lincoln Street,02130003,   1.2,  14.1,   1.6,   0.8,   3.9,   0.8,  77.6,  53.3,  46.7,2018,,      91,  36.5,      16,   6.4,      29,  11.6,      27,  10.8,      50,  20.1,,,,,,,,,,,,,,,,,,,,,,,
Northborough - Marguerite E Peaslee,02130014,   0.0,  13.5,   0.4,  10.2,   4.0,   0.4,  71.6,  44.4,  55.6,2018,,      93,  33.6,      20,   7.2,      44,  15.9,      23,   8.3,      62,  22.4,,,,,,,,,,,,,,,,,,,,,,,
Northborough - Marion E Zeh,02130020,   0.0,  16.5,   1.2,   7.0,   3.3,   0.0,  72.0,  45.3,  54.7,2018,,      73,  29.9,      15,   6.1,      29,  11.9,      15,   6.1,      47,  19.3,,,,,,,,,,,,,,,,,,,,,,,
Northborough - Robert E. Melican Middle School,02130305,   0.5,   9.3,   2.2,   5.6,   4.5,   1.1,  76.8,  48.1,  51.9,2018,,     181,  31.3,      17,   2.9,      90,  15.5,      63,  10.9,     106,  18.3,,,,,,,,,,,,,,,,,,,,,,,
Northbridge - Northbridge Elementary,02140005,   0.5,   1.1,   0.0,  11.1,   4.7,   0.0,  82.6,  43.2,  56.8,2018,,     184,  50.8,      17,   4.7,      20,   5.5,     135,  37.3,      80,  22.1,,,,,,,,,,,,,,,,,,,,,,,
Northbridge - Northbridge High,02140505,   0.0,   0.9,   0.5,   7.1,   2.5,   0.2,  88.9,  49.4,  50.6,2018,,     172,  31.6,       4,   0.7,      17,   3.1,     139,  25.5,      61,  11.2,,,130,96,73.8,0,32.3,17.7,50,15.6,26,13.5,       160,    91.9,     1.3,     0.0,     1.9,     5.0,     0.0,     105,541,,530
Northbridge - Northbridge Middle,02140305,   0.0,   1.0,   1.0,   6.5,   4.6,   0.1,  86.9,  49.0,  51.0,2018,,     247,  35.4,      10,   1.4,      29,   4.2,     191,  27.4,      94,  13.5,,,,,,,,,,,,,,,,,,,,,,,
Northbridge - W Edward Balmer,02140001,   0.0,   0.4,   0.4,   8.5,   4.2,   0.0,  86.5,  51.3,  48.7,2018,,     196,  41.4,      19,   4.0,      31,   6.6,     146,  30.9,      65,  13.7,,,,,,,,,,,,,,,,,,,,,,,
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,   0.0,   1.4,   2.7,  30.3,   1.9,   0.2,  63.5,  46.5,  53.5,2018,,     654,  52.4,      43,   3.4,     208,  16.7,     418,  33.5,     287,  23.0,,,287,141,49.1,0,25.5,41.8,32.6,41.8,12.8,14.2,       296,    98.3,     0.7,     0.0,     0.0,     1.0,     0.0,     164,486,,469
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,08510605,   0.2,   0.0,   0.8,   1.6,   3.3,   0.0,  94.1,  37.1,  62.9,2018,,     206,  41.5,       0,   0.0,       1,   0.2,     158,  31.9,      86,  17.3,,,108,44,40.7,0,27.3,31.8,40.9,27.3,34.1,0,       103,    98.1,     1.0,     0.0,     0.0,     1.0,     0.0,      50,513,,496
Norton - Henri A. Yelle,02180060,   0.0,   2.8,   2.0,   3.3,   5.1,   0.0,  86.8,  48.6,  51.4,2018,,     135,  35.3,       5,   1.3,       8,   2.1,      92,  24.1,      59,  15.4,,,,,,,,,,,,,,,,,,,,,,,
Norton - J C Solmonese,02180015,   0.6,   1.1,   0.9,   3.2,   5.8,   0.0,  88.3,  48.5,  51.5,2018,,     178,  36.5,       7,   1.4,       8,   1.6,     104,  21.3,     110,  22.5,,,,,,,,,,,,,,,,,,,,,,,
Norton - L G Nourse Elementary,02180010,   0.0,   2.1,   3.2,   6.3,   3.5,   0.0,  84.9,  48.1,  51.9,2018,,     106,  40.0,       8,   3.0,       9,   3.4,      65,  24.5,      55,  20.8,,,,,,,,,,,,,,,,,,,,,,,
Norton - Norton High,02180505,   0.0,   2.2,   1.9,   2.3,   1.3,   0.3,  92.1,  47.0,  53.0,2018,,     172,  24.0,       3,   0.4,       9,   1.3,     104,  14.5,     101,  14.1,,,183,143,78.1,0,30.8,14,55.2,12.6,21,18.2,       202,    93.6,     2.0,     0.0,     1.0,     3.5,     0.0,     200,558,,549
Norton - Norton Middle,02180305,   0.2,   1.9,   2.0,   3.7,   3.7,   0.0,  88.4,  52.8,  47.2,2018,,     183,  31.2,       5,   0.9,      15,   2.6,     100,  17.0,     113,  19.3,,,,,,,,,,,,,,,,,,,,,,,
Norwell - Grace Farrar Cole,02190005,   0.2,   1.7,   0.6,   1.5,   2.9,   0.0,  93.1,  41.8,  58.2,2018,,      93,  19.5,       3,   0.6,      12,   2.5,      30,   6.3,      70,  14.6,,,,,,,,,,,,,,,,,,,,,,,
Norwell - Norwell High,02190505,   0.0,   1.7,   0.4,   2.2,   1.7,   0.3,  93.7,  51.1,  48.9,2018,,     115,  16.8,       2,   0.3,      13,   1.9,      33,   4.8,      90,  13.2,,,171,154,90.1,0,47.4,3.9,48.1,3.9,4.5,19.5,       167,    98.8,     0.6,     0.0,     0.6,     0.0,     0.0,     239,588,,577
Norwell - Norwell Middle School,02190405,   0.0,   3.0,   0.6,   1.8,   2.0,   0.2,  92.5,  51.7,  48.3,2018,,     102,  20.0,       0,   0.0,       9,   1.8,      12,   2.4,      92,  18.0,,,,,,,,,,,,,,,,,,,,,,,
Norwell - William G Vinal,02190020,   0.0,   1.7,   0.2,   1.2,   2.9,   0.2,  93.8,  46.6,  53.4,2018,,      77,  14.8,       1,   0.2,       3,   0.6,       8,   1.5,      71,  13.7,,,,,,,,,,,,,,,,,,,,,,,
Norwood - Balch,02200005,   0.0,   3.7,  11.1,  30.4,   2.7,   0.0,  52.0,  50.0,  50.0,2018,,     194,  63.8,      96,  31.6,     130,  42.8,     112,  36.8,      61,  20.1,,,,,,,,,,,,,,,,,,,,,,,
Norwood - Charles J Prescott,02200025,   0.0,  25.7,   6.0,   4.0,   3.6,   0.0,  60.6,  49.4,  50.6,2018,,     107,  44.0,      47,  19.3,      89,  36.6,      27,  11.1,      43,  17.7,,,,,,,,,,,,,,,,,,,,,,,
Norwood - Cornelius M Callahan,02200010,   0.0,   5.5,   9.6,   8.7,   5.5,   0.0,  70.8,  47.5,  52.5,2018,,     124,  60.2,      31,  15.0,      48,  23.3,      73,  35.4,      56,  27.2,,,,,,,,,,,,,,,,,,,,,,,
Norwood - Dr. Philip O. Coakley Middle School,02200305,   0.0,   5.2,  11.9,  12.2,   2.0,   0.1,  68.5,  48.4,  51.6,2018,,     308,  41.1,      23,   3.1,     132,  17.6,     170,  22.7,     154,  20.5,,,,,,,,,,,,,,,,,,,,,,,
Norwood - F A Cleveland,02200015,   0.0,   9.8,   6.7,   6.1,   2.1,   0.6,  74.7,  49.1,  50.9,2018,,     153,  46.8,      44,  13.5,      76,  23.2,      74,  22.6,      75,  22.9,,,,,,,,,,,,,,,,,,,,,,,
Norwood - George F. Willett,02200075,   0.0,  14.4,   8.5,  11.3,   1.8,   1.5,  62.5,  48.3,  51.7,2018,,     157,  42.5,      59,  16.0,     100,  27.1,      81,  22.0,      63,  17.1,,,,,,,,,,,,,,,,,,,,,,,
Norwood - John P Oldham,02200020,   0.0,   5.7,  12.8,   8.4,   0.4,   0.0,  72.7,  52.9,  47.1,2018,,     104,  43.7,      17,   7.1,      32,  13.4,      44,  18.5,      57,  23.9,,,,,,,,,,,,,,,,,,,,,,,
Norwood - Norwood High,02200505,   0.0,   4.3,  12.0,  11.0,   2.6,   0.0,  70.1,  49.0,  51.0,2018,,     354,  35.9,      43,   4.4,     181,  18.4,     224,  22.7,     141,  14.3,,,234,175,74.8,0,44.6,16.6,38.9,16,13.1,16.6,       240,    94.2,     2.9,     1.3,     0.4,     1.3,     0.0,     272,552,,559
Oak Bluffs - Oak Bluffs Elementary,02210005,   1.6,   1.6,   4.9,  23.7,   6.8,   0.5,  60.8,  50.7,  49.3,2018,,     216,  49.7,      77,  17.7,      93,  21.4,     102,  23.4,      89,  20.5,,,,,,,,,,,,,,,,,,,,,,,
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,08550605,   0.2,   0.7,   1.9,   1.9,   1.3,   0.0,  94.1,  36.6,  63.4,2018,,     202,  36.7,       1,   0.2,       1,   0.2,      91,  16.5,     137,  24.9,,,128,73,57,0,27.4,38.4,34.2,38.4,20.5,12.3,       117,    99.1,     0.0,     0.0,     0.0,     0.9,     0.0,      68,502,,519
Old Rochester - Old Rochester Regional High,07400505,   0.1,   2.4,   2.2,   1.2,   2.6,   0.0,  91.5,  52.4,  47.6,2018,,     149,  19.2,       0,   0.0,       8,   1.0,      94,  12.1,      81,  10.5,,,186,167,89.8,0,38.3,11.4,50.3,11.4,15,21,       203,    94.6,     2.5,     1.5,     0.0,     1.5,     0.0,     229,565,,566
Old Rochester - Old Rochester Regional Jr High,07400405,   0.0,   1.5,   1.5,   1.9,   3.8,   0.0,  91.4,  46.1,  53.9,2018,,      96,  22.0,       1,   0.2,       8,   1.8,      51,  11.7,      62,  14.2,,,,,,,,,,,,,,,,,,,,,,,
Old Sturbridge Academy Charter Public School (District) - Old Sturbridge Academy Charter Public School,35150205,   0.0,   0.6,   6.9,  10.6,   0.0,   0.0,  81.9,  46.3,  53.8,2018,,      88,  44.0,      13,   6.5,      13,   6.5,      62,  31.0,      28,  14.0,,,,,,,,,,,,,,,,,,,,,,,
Orange - Dexter Park,02230010,   0.0,   0.6,   1.0,   6.7,   3.5,   0.0,  88.2,  42.2,  57.8,2018,,     208,  63.8,       7,   2.1,      10,   3.1,     170,  52.1,      94,  28.8,,,,,,,,,,,,,,,,,,,,,,,
Orange - Fisher Hill,02230015,   0.7,   0.4,   1.8,   8.6,   2.5,   0.0,  86.0,  48.7,  51.3,2018,,     177,  67.6,       4,   1.5,       4,   1.5,     156,  59.5,      60,  22.9,,,,,,,,,,,,,,,,,,,,,,,
Orleans - Orleans Elementary,02240005,   0.0,   2.2,   3.1,   5.8,   1.3,   0.0,  87.4,  48.0,  52.0,2018,,      92,  42.2,      19,   8.7,      20,   9.2,      60,  27.5,      38,  17.4,,,,,,,,,,,,,,,,,,,,,,,
Oxford - Alfred M Chaffee,02260010,   0.3,   0.7,   1.7,  10.7,   4.5,   0.0,  82.0,  45.0,  55.0,2018,,     109,  42.6,       0,   0.0,       0,   0.0,      78,  30.5,      46,  18.0,,,,,,,,,,,,,,,,,,,,,,,
Oxford - Clara Barton,02260005,   0.0,   0.5,   2.6,   9.4,   5.2,   0.0,  82.2,  46.5,  53.5,2018,,     162,  40.1,       6,   1.5,       6,   1.5,     128,  31.7,      66,  16.3,,,,,,,,,,,,,,,,,,,,,,,
Oxford - Oxford High,02260505,   0.6,   2.2,   3.1,  10.1,   4.6,   0.4,  79.0,  53.2,  46.8,2018,,     224,  42.1,       2,   0.4,       3,   0.6,     180,  33.8,      74,  13.9,,,82,53,64.6,0,18.9,35.8,45.3,35.8,26.4,15.1,       102,    91.2,     4.9,     0.0,     1.0,     2.9,     0.0,      70,502,,501
Oxford - Oxford Middle,02260405,   0.0,   1.6,   1.8,  11.7,   4.7,   0.0,  80.1,  47.6,  52.4,2018,,     171,  40.0,       0,   0.0,       0,   0.0,     137,  32.0,      53,  12.4,,,,,,,,,,,,,,,,,,,,,,,
Oxford - Project C.O.F.F.E.E.,02260305,   0.0,   0.0,   0.0,  18.5,   3.7,   0.0,  77.8,  11.1,  88.9,2018,,      12,  63.2,       0,   0.0,       0,   0.0,       9,  47.4,       9,  47.4,,,6,,,,,,,,,,         7,    57.1,    14.3,     0.0,     0.0,    28.6,     0.0,,,,
Palmer - Old Mill Pond,02270008,   0.0,   2.6,   3.3,  13.5,   4.9,   0.0,  75.5,  51.5,  48.5,2018,,     349,  53.2,      22,   3.4,      28,   4.3,     285,  43.4,     123,  18.8,,,,,,,,,,,,,,,,,,,,,,,
Palmer - Palmer High,02270505,   0.0,   2.2,   2.7,   8.7,   3.6,   0.1,  82.6,  48.5,  51.5,2018,,     306,  45.1,      10,   1.5,      21,   3.1,     238,  35.1,     125,  18.4,,,98,66,67.3,0,34.8,39.4,25.8,37.9,10.6,10.6,        96,    82.3,     7.3,     1.0,     0.0,     9.4,     0.0,      75,545,,539
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,08600605,   0.2,   0.7,   0.5,   5.5,   3.3,   0.0,  89.9,  37.6,  62.4,2018,,     355,  54.8,       0,   0.0,       0,   0.0,     242,  37.3,     189,  29.2,,,122,42,34.4,0,28.6,64.3,7.1,61.9,7.1,0,       152,    84.2,     5.3,     2.0,     0.7,     7.9,     0.0,      26,507,,491
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,35010505,   0.0,   0.0,   3.7,  89.6,   0.0,   0.4,   6.3,  54.8,  45.2,2018,,     242,  88.0,      30,  10.9,      76,  27.6,     219,  79.6,      66,  24.0,,,58,32,55.2,0,18.8,56.3,25,56.3,18.8,0,,,,,,,,      36,461,,431
Peabody - Captain Samuel Brown,02290005,   0.0,   1.4,   2.0,  14.5,   2.0,   0.0,  80.2,  44.4,  55.6,2018,,     189,  52.8,      24,   6.7,      39,  10.9,      94,  26.3,     115,  32.1,,,,,,,,,,,,,,,,,,,,,,,
Peabody - Center,02290015,   0.0,   2.3,   8.1,  11.7,   1.5,   0.0,  76.4,  51.3,  48.7,2018,,     179,  46.6,      51,  13.3,      73,  19.0,     127,  33.1,      42,  10.9,,,,,,,,,,,,,,,,,,,,,,,
Peabody - J Henry Higgins Middle,02290305,   0.0,   1.8,   3.9,  15.4,   1.7,   0.0,  77.3,  48.2,  51.8,2018,,     691,  48.0,      92,   6.4,     219,  15.2,     431,  30.0,     259,  18.0,,,,,,,,,,,,,,,,,,,,,,,
Peabody - John E Burke,02290007,   0.0,   1.1,   1.1,   5.7,   3.1,   0.0,  88.9,  50.2,  49.8,2018,,      93,  35.2,      13,   4.9,      14,   5.3,      45,  17.0,      75,  28.4,,,,,,,,,,,,,,,,,,,,,,,
Peabody - John E. McCarthy,02290016,   0.0,   2.0,   2.0,   9.9,   3.1,   0.0,  83.1,  42.4,  57.6,2018,,     187,  51.7,      27,   7.5,      48,  13.3,     113,  31.2,     109,  30.1,,,,,,,,,,,,,,,,,,,,,,,
Peabody - Peabody Veterans Memorial High,02290510,   0.0,   2.2,   3.4,  15.9,   2.0,   0.0,  76.5,  48.2,  51.8,2018,,     639,  44.5,      93,   6.5,     138,   9.6,     409,  28.5,     268,  18.7,,,336,241,71.7,0,34,21.2,44.8,21.2,25.7,10.8,       417,    84.4,     7.4,     0.5,     0.7,     7.2,     0.0,     328,533,,534
Peabody - South Memorial,02290035,   0.0,   2.1,   2.8,   6.0,   2.4,   0.0,  86.7,  55.9,  44.1,2018,,     172,  36.5,      40,   8.5,      55,  11.7,      97,  20.6,      57,  12.1,,,,,,,,,,,,,,,,,,,,,,,
Peabody - Thomas Carroll,02290010,   0.0,   0.8,   5.1,  16.5,   1.3,   0.0,  76.2,  52.6,  47.4,2018,,     353,  57.3,     116,  18.8,     150,  24.4,     255,  41.4,      71,  11.5,,,,,,,,,,,,,,,,,,,,,,,
Peabody - West Memorial,02290045,   0.0,   0.8,   1.2,   4.0,   0.8,   0.0,  93.1,  44.4,  55.6,2018,,      87,  33.3,       5,   1.9,       6,   2.3,      54,  20.7,      56,  21.5,,,,,,,,,,,,,,,,,,,,,,,
