School Name,School Code,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,year,Nonbinary,High Needs#,High Needs%,English Learners#,English Learners%,First Language Not English#,First Language Not English%,Economically Disadvantaged#,Economically Disadvantaged%,Students with Disabilities#,Students with Disabilities%,Low Income#,Low Income%,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,Tests Taken,Reading / Writing,Writing,Math
Adams-Cheshire - Plunkett Elementary,06030020,   0.2,   0.2,   4.0,   2.2,   3.3,   0.2,  89.8,  47.7,  52.3,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,   0.3,  19.2,   2.4,   5.8,   5.4,   0.0,  66.9,  48.3,  51.7,2017,,     200,  20.1,      94,   9.5,     237,  23.9,      67,   6.7,      53,   5.3,,,101,91,90.1,0,41.8,3.3,54.9,2.2,8.8,27.5,       127,    97.6,     0.8,     0.0,     1.6,     0.0,     0.0,     156,631,,676
Agawam - Agawam Early Childhood Center,00050003,   0.0,   8.6,   4.6,  12.6,   2.6,   0.0,  71.5,  42.4,  57.6,2017,,     100,  61.3,       0,   0.0,       4,   2.5,      59,  36.2,      74,  45.4,,,,,,,,,,,,,,,,,,,,,,,
Agawam - Agawam High,00050505,   0.0,   2.2,   1.2,   5.8,   1.9,   0.1,  88.8,  48.0,  52.0,2017,,     387,  32.9,      21,   1.8,      62,   5.3,     266,  22.6,     176,  15.0,,,271,212,78.2,0,29.7,34,36.3,32.1,16.5,7.5,       323,    91.6,     2.8,     1.2,     0.6,     3.7,     0.0,     245,548,,555
Agawam - Agawam Junior High,00050405,   0.0,   1.4,   1.4,   7.1,   3.0,   0.0,  87.0,  52.1,  47.9,2017,,     214,  37.3,       5,   0.9,      43,   7.5,     161,  28.1,      86,  15.0,,,,,,,,,,,,,,,,,,,,,,,
Agawam - Benjamin J Phelps,00050020,   0.0,   2.9,   2.1,   4.9,   2.1,   0.0,  88.1,  47.3,  52.7,2017,,     153,  39.4,      40,  10.3,      56,  14.4,     103,  26.5,      50,  12.9,,,,,,,,,,,,,,,,,,,,,,,
Agawam - Clifford M Granger,00050010,   0.0,   1.0,   1.4,   9.6,   2.7,   0.3,  85.0,  49.8,  50.2,2017,,     134,  47.9,      23,   8.2,      27,   9.6,      96,  34.3,      57,  20.4,,,,,,,,,,,,,,,,,,,,,,,
Agawam - James Clark School,00050030,   0.0,   3.3,   3.0,   9.4,   1.8,   0.0,  82.4,  46.8,  53.2,2017,,     147,  43.2,      36,  10.6,      52,  15.3,     108,  31.8,      56,  16.5,,,,,,,,,,,,,,,,,,,,,,,
Agawam - Roberta G. Doering School,00050303,   0.0,   4.2,   2.5,   7.0,   3.0,   0.0,  83.3,  46.6,  53.4,2017,,     268,  46.9,      24,   4.2,      71,  12.4,     204,  35.7,      91,  15.9,,,,,,,,,,,,,,,,,,,,,,,
Agawam - Robinson Park,00050025,   0.0,   2.9,   2.7,   8.0,   3.4,   0.0,  83.0,  48.3,  51.7,2017,,     195,  52.3,      54,  14.5,      57,  15.3,     152,  40.8,      49,  13.1,,,,,,,,,,,,,,,,,,,,,,,
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,   0.3,   0.6,  14.2,  47.2,   5.9,   0.0,  31.8,  53.7,  46.3,2017,,     299,  72.4,      91,  22.0,      96,  23.2,     241,  58.4,      65,  15.7,,,,,,,,,,,,,,,,,,,,,,,
Amesbury - Amesbury Elementary,00070005,   0.5,   0.5,   4.1,   6.2,   4.4,   0.0,  84.3,  47.7,  52.3,2017,,     142,  35.9,       0,   0.0,       0,   0.0,      92,  23.3,      69,  17.5,,,,,,,,,,,,,,,,,,,,,,,
Amesbury - Amesbury High,00070505,   0.0,   1.2,   1.3,   4.2,   2.5,   0.0,  90.7,  46.5,  53.5,2017,,     154,  26.0,       6,   1.0,      22,   3.7,      85,  14.4,      87,  14.7,,,128,107,83.6,0,27.1,24.3,48.6,21.5,9.3,22.4,       154,    94.2,     1.9,     0.6,     0.6,     2.6,     0.0,     145,574,,576
Amesbury - Amesbury Innovation High School,00070515,   0.0,   0.0,   0.0,   6.5,   6.5,   0.0,  87.1,  35.5,  64.5,2017,,      32,  80.0,       0,   0.0,       0,   0.0,      26,  65.0,      20,  50.0,,,9,,,,,,,,,,        15,    53.3,    33.3,     0.0,     0.0,    13.3,     0.0,       3,,,
Amesbury - Amesbury Middle,00070013,   0.3,   1.0,   1.2,   6.6,   3.8,   0.1,  86.9,  48.9,  51.1,2017,,     241,  35.6,       6,   0.9,      18,   2.7,     168,  24.8,     126,  18.6,,,,,,,,,,,,,,,,,,,,,,,
Amesbury - Charles C Cashman Elementary,00070010,   0.4,   2.0,   2.2,   8.7,   2.4,   0.2,  84.1,  46.5,  53.5,2017,,     197,  44.5,      16,   3.6,      23,   5.2,     130,  29.3,      97,  21.9,,,,,,,,,,,,,,,,,,,,,,,
Amherst - Crocker Farm Elementary,00080009,   0.0,  15.8,   7.2,  25.7,   8.4,   0.0,  42.8,  49.5,  50.5,2017,,     197,  48.3,      83,  20.3,     101,  24.8,     125,  30.6,      82,  20.1,,,,,,,,,,,,,,,,,,,,,,,
Amherst - Fort River Elementary,00080020,   0.0,  14.0,  11.3,  22.1,   5.4,   0.0,  47.2,  50.4,  49.6,2017,,     174,  51.9,      52,  15.5,      81,  24.2,     129,  38.5,      87,  26.0,,,,,,,,,,,,,,,,,,,,,,,
Amherst - Wildwood Elementary,00080050,   0.2,  13.7,  10.3,  20.5,   7.6,   0.0,  47.7,  47.4,  52.6,2017,,     193,  47.9,      54,  13.4,      94,  23.3,     129,  32.0,      70,  17.4,,,,,,,,,,,,,,,,,,,,,,,
Amherst-Pelham - Amherst Regional High,06050505,   0.1,   9.5,   7.0,  14.3,   9.2,   0.0,  59.9,  47.9,  52.1,2017,,     331,  35.5,      43,   4.6,     113,  12.1,     217,  23.3,     171,  18.3,,,218,174,79.8,0,52.9,19.5,27.6,19,0.6,17.8,       235,    93.2,     2.6,     0.0,     2.1,     2.1,     0.0,     193,604,,591
Amherst-Pelham - Amherst Regional Middle School,06050405,   0.0,   7.9,   6.9,  16.7,   8.3,   0.5,  59.7,  52.3,  47.7,2017,,     181,  44.1,      38,   9.3,      73,  17.8,     122,  29.8,      85,  20.7,,,,,,,,,,,,,,,,,,,,,,,
Andover - Andover High,00090505,   0.1,  14.5,   1.9,   5.0,   2.2,   0.0,  76.3,  51.1,  48.9,2017,,     379,  21.3,      14,   0.8,     180,  10.1,     129,   7.2,     274,  15.4,,,404,357,88.4,0,54.6,8.1,37.3,8.1,2.5,18.5,       462,    97.2,     2.4,     0.0,     0.4,     0.0,     0.0,     510,600,,604
Andover - Andover West Middle,00090310,   0.0,  15.6,   1.1,   3.6,   2.4,   0.0,  77.3,  53.8,  46.2,2017,,     125,  23.8,      12,   2.3,      54,  10.3,      48,   9.1,      86,  16.4,,,,,,,,,,,,,,,,,,,,,,,
Andover - Bancroft Elementary,00090003,   0.3,   6.6,   3.2,   5.9,   5.6,   0.0,  78.4,  48.2,  51.8,2017,,     138,  23.9,      21,   3.6,      53,   9.2,      42,   7.3,      88,  15.2,,,,,,,,,,,,,,,,,,,,,,,
Andover - Doherty Middle,00090305,   0.5,  13.5,   0.5,   3.7,   2.7,   0.0,  79.0,  49.2,  50.8,2017,,     146,  26.3,       7,   1.3,      51,   9.2,      31,   5.6,     125,  22.5,,,,,,,,,,,,,,,,,,,,,,,
Andover - Henry C Sanborn Elementary,00090010,   0.8,  28.1,   1.6,   4.5,   2.1,   0.0,  63.0,  45.1,  54.9,2017,,     133,  34.3,      49,  12.6,      70,  18.0,      38,   9.8,      67,  17.3,,,,,,,,,,,,,,,,,,,,,,,
Andover - High Plain Elementary,00090004,   0.0,  29.1,   2.7,   6.6,   3.3,   0.0,  58.3,  46.4,  53.6,2017,,     160,  32.0,      58,  11.6,     128,  25.6,      31,   6.2,      79,  15.8,,,,,,,,,,,,,,,,,,,,,,,
Andover - Shawsheen School,00090005,   1.4,  27.4,   2.7,   2.7,   0.0,   0.0,  65.8,  46.6,  53.4,2017,,      53,  62.4,       8,   9.4,      18,  21.2,      14,  16.5,      44,  51.8,,,,,,,,,,,,,,,,,,,,,,,
Andover - South Elementary,00090020,   0.2,  18.5,   0.0,   4.9,   0.6,   0.2,  75.7,  49.1,  50.9,2017,,     130,  26.5,      41,   8.4,      72,  14.7,      15,   3.1,      76,  15.5,,,,,,,,,,,,,,,,,,,,,,,
Andover - West Elementary,00090025,   0.2,  14.6,   3.0,   6.8,   3.0,   0.0,  72.5,  48.3,  51.7,2017,,     192,  31.6,      31,   5.1,      72,  11.8,      40,   6.6,     142,  23.4,,,,,,,,,,,,,,,,,,,,,,,
Andover - Wood Hill Middle School,00090350,   0.0,  26.5,   3.1,   6.2,   2.4,   0.0,  61.8,  54.2,  45.8,2017,,     110,  26.8,      13,   3.2,      78,  19.0,      28,   6.8,      82,  20.0,,,,,,,,,,,,,,,,,,,,,,,
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,   0.3,   2.0,   9.4,  11.1,   4.2,   0.7,  72.3,  45.9,  54.1,2017,,     267,  67.1,      91,  22.9,      98,  24.6,     219,  55.0,      86,  21.6,,,,,,,,,,,,,,,,,,,,,,,
Arlington - Arlington High,00100505,   0.0,  10.7,   4.1,   5.7,   3.7,   0.2,  75.6,  50.9,  49.1,2017,,     272,  20.5,      19,   1.4,     150,  11.3,     127,   9.6,     150,  11.3,,,311,257,82.6,0,48.6,10.5,40.9,10.1,5.1,18.7,       295,    97.3,     1.4,     0.0,     0.3,     1.0,     0.0,     404,610,,602
Arlington - Brackett,00100010,   0.0,  10.3,   1.5,   4.6,   6.3,   0.2,  77.1,  47.9,  52.1,2017,,      83,  17.0,      21,   4.3,      32,   6.6,      14,   2.9,      55,  11.3,,,,,,,,,,,,,,,,,,,,,,,
Arlington - Cyrus E Dallin,00100025,   0.0,  12.4,   1.7,   4.5,   3.2,   0.2,  77.9,  48.1,  51.9,2017,,      97,  20.2,      16,   3.3,      20,   4.2,      23,   4.8,      63,  13.1,,,,,,,,,,,,,,,,,,,,,,,
Arlington - Hardy,00100030,   0.2,  15.7,   4.9,   7.3,   3.3,   0.4,  68.1,  45.7,  54.3,2017,,     134,  29.3,      49,  10.7,      61,  13.3,      27,   5.9,      66,  14.4,,,,,,,,,,,,,,,,,,,,,,,
Arlington - John A Bishop,00100005,   0.0,  14.6,   4.2,   3.1,   4.5,   0.7,  72.9,  50.6,  49.4,2017,,      87,  20.7,      24,   5.7,      38,   9.0,      27,   6.4,      43,  10.2,,,,,,,,,,,,,,,,,,,,,,,
Arlington - M Norcross Stratton,00100055,   0.0,  18.2,   2.5,   6.3,   4.5,   0.0,  68.4,  50.3,  49.7,2017,,      94,  23.4,      25,   6.2,      35,   8.7,      35,   8.7,      58,  14.4,,,,,,,,,,,,,,,,,,,,,,,
Arlington - Menotomy Preschool,00100038,   0.0,  12.9,   0.0,   5.7,   2.9,   0.0,  78.6,  37.1,  62.9,2017,,      47,  55.3,       0,   0.0,       9,  10.6,      10,  11.8,      45,  52.9,,,,,,,,,,,,,,,,,,,,,,,
Arlington - Ottoson Middle,00100410,   0.0,  10.0,   4.2,   5.5,   5.0,   0.0,  75.3,  53.0,  47.0,2017,,     333,  26.5,      33,   2.6,     167,  13.3,     119,   9.5,     207,  16.5,,,,,,,,,,,,,,,,,,,,,,,
Arlington - Peirce,00100045,   0.0,  12.3,   4.0,   8.3,   2.5,   0.0,  72.8,  50.4,  49.6,2017,,      75,  24.6,      27,   8.9,      32,  10.5,      20,   6.6,      34,  11.1,,,,,,,,,,,,,,,,,,,,,,,
